x,y,channel,bit_index,payload_bit,byte_index
0,0,R,0,0,0
0,0,R,1,1,0
0,0,G,2,0,0
0,0,G,3,1,0
0,0,B,4,0,0
0,0,B,5,0,0
1,0,R,6,1,0
1,0,R,7,1,0
1,0,G,8,0,1
1,0,G,9,1,1
1,0,B,10,0,1
1,0,B,11,1,1
2,0,R,12,0,1
2,0,R,13,1,1
2,0,G,14,0,1
2,0,G,15,0,1
2,0,B,16,0,2
2,0,B,17,1,2
3,0,R,18,0,2
3,0,R,19,0,2
3,0,G,20,0,2
3,0,G,21,1,2
3,0,B,22,0,2
3,0,B,23,1,2
4,0,R,24,0,3
4,0,R,25,1,3
4,0,G,26,0,3
4,0,G,27,0,3
4,0,B,28,0,3
4,0,B,29,1,3
5,0,R,30,1,3
5,0,R,31,1,3
5,0,G,32,0,4
5,0,G,33,1,4
5,0,B,34,0,4
5,0,B,35,0,4
6,0,R,36,1,4
6,0,R,37,1,4
6,0,G,38,1,4
6,0,G,39,1,4
6,0,B,40,0,5
6,0,B,41,1,5
7,0,R,42,0,5
7,0,R,43,0,5
7,0,G,44,0,5
7,0,G,45,1,5
7,0,B,46,0,5
7,0,B,47,0,5
8,0,R,48,0,6
8,0,R,49,1,6
8,0,G,50,0,6
8,0,G,51,0,6
8,0,B,52,0,6
8,0,B,53,1,6
9,0,R,54,0,6
9,0,R,55,1,6
9,0,G,56,0,7
9,0,G,57,1,7
9,0,B,58,0,7
9,0,B,59,1,7
10,0,R,60,0,7
10,0,R,61,1,7
10,0,G,62,0,7
10,0,G,63,0,7
10,0,B,64,0,8
10,0,B,65,1,8
11,0,R,66,0,8
11,0,R,67,0,8
11,0,G,68,0,8
11,0,G,69,1,8
11,0,B,70,0,8
11,0,B,71,1,8
12,0,R,72,0,9
12,0,R,73,1,9
12,0,G,74,0,9
12,0,G,75,0,9
12,0,B,76,0,9
12,0,B,77,0,9
13,0,R,78,1,9
13,0,R,79,1,9
13,0,G,80,0,10
13,0,G,81,1,10
13,0,B,82,0,10
13,0,B,83,1,10
14,0,R,84,0,10
14,0,R,85,1,10
14,0,G,86,0,10
14,0,G,87,0,10
14,0,B,88,0,11
14,0,B,89,1,11
15,0,R,90,1,11
15,0,R,91,1,11
15,0,G,92,0,11
15,0,G,93,1,11
15,0,B,94,1,11
15,0,B,95,0,11
16,0,R,96,0,12
16,0,R,97,0,12
16,0,G,98,1,12
16,0,G,99,1,12
16,0,B,100,0,12
16,0,B,101,0,12
17,0,R,102,0,12
17,0,R,103,1,12
17,0,G,104,0,13
17,0,G,105,0,13
17,0,B,106,0,13
17,0,B,107,0,13
18,0,R,108,0,13
18,0,R,109,0,13
18,0,G,110,0,13
18,0,G,111,0,13
18,0,B,112,0,14
18,0,B,113,0,14
19,0,R,114,0,14
19,0,R,115,0,14
19,0,G,116,0,14
19,0,G,117,0,14
19,0,B,118,0,14
19,0,B,119,0,14
20,0,R,120,0,15
20,0,R,121,0,15
20,0,G,122,0,15
20,0,G,123,0,15
20,0,B,124,0,15
20,0,B,125,0,15
21,0,R,126,0,15
21,0,R,127,1,15
21,0,G,128,0,16
21,0,G,129,1,16
21,0,B,130,1,16
21,0,B,131,1,16
22,0,R,132,0,16
22,0,R,133,1,16
22,0,G,134,0,16
22,0,G,135,1,16
22,0,B,136,0,17
22,0,B,137,1,17
23,0,R,138,1,17
23,0,R,139,1,17
23,0,G,140,1,17
23,0,G,141,0,17
23,0,B,142,1,17
23,0,B,143,1,17
24,0,R,144,0,18
24,0,R,145,0,18
24,0,G,146,1,18
24,0,G,147,0,18
24,0,B,148,0,18
24,0,B,149,0,18
25,0,R,150,1,18
25,0,R,151,0,18
25,0,G,152,0,19
25,0,G,153,1,19
25,0,B,154,1,19
25,0,B,155,1,19
26,0,R,156,0,19
26,0,R,157,1,19
26,0,G,158,1,19
26,0,G,159,0,19
26,0,B,160,0,20
26,0,B,161,1,20
27,0,R,162,1,20
27,0,R,163,0,20
27,0,G,164,0,20
27,0,G,165,1,20
27,0,B,166,0,20
27,0,B,167,1,20
28,0,R,168,0,21
28,0,R,169,1,21
28,0,G,170,1,21
28,0,G,171,1,21
28,0,B,172,0,21
28,0,B,173,0,21
29,0,R,174,1,21
29,0,R,175,0,21
29,0,G,176,0,22
29,0,G,177,1,22
29,0,B,178,1,22
29,0,B,179,1,22
30,0,R,180,0,22
30,0,R,181,0,22
30,0,G,182,1,22
30,0,G,183,1,22
30,0,B,184,0,23
30,0,B,185,1,23
31,0,R,186,1,23
31,0,R,187,0,23
31,0,G,188,1,23
31,0,G,189,0,23
31,0,B,190,0,23
31,0,B,191,1,23
32,0,R,192,0,24
32,0,R,193,1,24
32,0,G,194,1,24
32,0,G,195,0,24
32,0,B,196,1,24
32,0,B,197,1,24
33,0,R,198,1,24
33,0,R,199,1,24
33,0,G,200,0,25
33,0,G,201,1,25
33,0,B,202,1,25
33,0,B,203,0,25
34,0,R,204,1,25
34,0,R,205,1,25
34,0,G,206,1,25
34,0,G,207,0,25
34,0,B,208,0,26
34,0,B,209,0,26
35,0,R,210,1,26
35,0,R,211,0,26
35,0,G,212,0,26
35,0,G,213,0,26
35,0,B,214,1,26
35,0,B,215,0,26
36,0,R,216,0,27
36,0,R,217,0,27
36,0,G,218,1,27
36,0,G,219,1,27
36,0,B,220,1,27
36,0,B,221,0,27
37,0,R,222,1,27
37,0,R,223,0,27
37,0,G,224,0,28
37,0,G,225,0,28
37,0,B,226,1,28
37,0,B,227,0,28
38,0,R,228,0,28
38,0,R,229,0,28
38,0,G,230,0,28
38,0,G,231,0,28
38,0,B,232,0,29
38,0,B,233,0,29
39,0,R,234,1,29
39,0,R,235,0,29
39,0,G,236,0,29
39,0,G,237,0,29
39,0,B,238,1,29
39,0,B,239,0,29
40,0,R,240,0,30
40,0,R,241,0,30
40,0,G,242,1,30
40,0,G,243,1,30
40,0,B,244,0,30
40,0,B,245,0,30
41,0,R,246,0,30
41,0,R,247,1,30
41,0,G,248,0,31
41,0,G,249,0,31
41,0,B,250,1,31
41,0,B,251,0,31
42,0,R,252,1,31
42,0,R,253,1,31
42,0,G,254,1,31
42,0,G,255,0,31
42,0,B,256,0,32
42,0,B,257,0,32
43,0,R,258,1,32
43,0,R,259,1,32
43,0,G,260,0,32
43,0,G,261,0,32
43,0,B,262,0,32
43,0,B,263,0,32
44,0,R,264,0,33
44,0,R,265,0,33
44,0,G,266,1,33
44,0,G,267,0,33
44,0,B,268,0,33
44,0,B,269,0,33
45,0,R,270,1,33
45,0,R,271,0,33
45,0,G,272,0,34
45,0,G,273,0,34
45,0,B,274,1,34
45,0,B,275,0,34
46,0,R,276,1,34
46,0,R,277,1,34
46,0,G,278,0,34
46,0,G,279,0,34
46,0,B,280,0,35
46,0,B,281,0,35
47,0,R,282,1,35
47,0,R,283,0,35
47,0,G,284,0,35
47,0,G,285,0,35
47,0,B,286,0,35
47,0,B,287,0,35
48,0,R,288,0,36
48,0,R,289,0,36
48,0,G,290,1,36
48,0,G,291,0,36
48,0,B,292,0,36
48,0,B,293,0,36
49,0,R,294,1,36
49,0,R,295,0,36
49,0,G,296,0,37
49,0,G,297,1,37
49,0,B,298,1,37
49,0,B,299,1,37
50,0,R,300,0,37
50,0,R,301,0,37
50,0,G,302,0,37
50,0,G,303,0,37
50,0,B,304,0,38
50,0,B,305,1,38
51,0,R,306,1,38
51,0,R,307,0,38
51,0,G,308,0,38
51,0,G,309,0,38
51,0,B,310,0,38
51,0,B,311,1,38
52,0,R,312,0,39
52,0,R,313,1,39
52,0,G,314,1,39
52,0,G,315,1,39
52,0,B,316,1,39
52,0,B,317,0,39
53,0,R,318,0,39
53,0,R,319,1,39
53,0,G,320,0,40
53,0,G,321,1,40
53,0,B,322,1,40
53,0,B,323,0,40
54,0,R,324,1,40
54,0,R,325,1,40
54,0,G,326,0,40
54,0,G,327,0,40
54,0,B,328,0,41
54,0,B,329,1,41
55,0,R,330,1,41
55,0,R,331,0,41
55,0,G,332,1,41
55,0,G,333,1,41
55,0,B,334,1,41
55,0,B,335,1,41
56,0,R,336,0,42
56,0,R,337,1,42
56,0,G,338,1,42
56,0,G,339,0,42
56,0,B,340,0,42
56,0,B,341,0,42
57,0,R,342,0,42
57,0,R,343,1,42
57,0,G,344,0,43
57,0,G,345,1,43
57,0,B,346,1,43
57,0,B,347,0,43
58,0,R,348,0,43
58,0,R,349,1,43
58,0,G,350,0,43
58,0,G,351,0,43
58,0,B,352,0,44
58,0,B,353,1,44
59,0,R,354,0,44
59,0,R,355,1,44
59,0,G,356,1,44
59,0,G,357,1,44
59,0,B,358,1,44
59,0,B,359,1,44
60,0,R,360,0,45
60,0,R,361,1,45
60,0,G,362,1,45
60,0,G,363,1,45
60,0,B,364,0,45
60,0,B,365,1,45
61,0,R,366,0,45
61,0,R,367,0,45
61,0,G,368,0,46
61,0,G,369,1,46
61,0,B,370,1,46
61,0,B,371,1,46
62,0,R,372,1,46
62,0,R,373,0,46
62,0,G,374,0,46
62,0,G,375,1,46
62,0,B,376,0,47
62,0,B,377,1,47
63,0,R,378,1,47
63,0,R,379,1,47
63,0,G,380,0,47
63,0,G,381,0,47
63,0,B,382,0,47
63,0,B,383,0,47
64,0,R,384,0,48
64,0,R,385,1,48
64,0,G,386,1,48
64,0,G,387,0,48
64,0,B,388,0,48
64,0,B,389,1,48
65,0,R,390,0,48
65,0,R,391,1,48
65,0,G,392,0,49
65,0,G,393,0,49
65,0,B,394,1,49
65,0,B,395,0,49
66,0,R,396,0,49
66,0,R,397,0,49
66,0,G,398,1,49
66,0,G,399,0,49
66,0,B,400,0,50
66,0,B,401,0,50
67,0,R,402,1,50
67,0,R,403,1,50
67,0,G,404,1,50
67,0,G,405,0,50
67,0,B,406,1,50
67,0,B,407,0,50
68,0,R,408,0,51
68,0,R,409,0,51
68,0,G,410,1,51
68,0,G,411,0,51
68,0,B,412,0,51
68,0,B,413,0,51
69,0,R,414,0,51
69,0,R,415,0,51
69,0,G,416,0,52
69,0,G,417,0,52
69,0,B,418,1,52
69,0,B,419,0,52
70,0,R,420,0,52
70,0,R,421,0,52
70,0,G,422,1,52
70,0,G,423,0,52
70,0,B,424,0,53
70,0,B,425,1,53
71,0,R,426,1,53
71,0,R,427,1,53
71,0,G,428,0,53
71,0,G,429,0,53
71,0,B,430,0,53
71,0,B,431,0,53
72,0,R,432,0,54
72,0,R,433,1,54
72,0,G,434,1,54
72,0,G,435,0,54
72,0,B,436,0,54
72,0,B,437,1,54
73,0,R,438,0,54
73,0,R,439,0,54
73,0,G,440,0,55
73,0,G,441,1,55
73,0,B,442,1,55
73,0,B,443,0,55
74,0,R,444,0,55
74,0,R,445,1,55
74,0,G,446,1,55
74,0,G,447,0,55
74,0,B,448,0,56
74,0,B,449,0,56
75,0,R,450,1,56
75,0,R,451,0,56
75,0,G,452,0,56
75,0,G,453,0,56
75,0,B,454,1,56
75,0,B,455,0,56
76,0,R,456,0,57
76,0,R,457,0,57
76,0,G,458,1,57
76,0,G,459,0,57
76,0,B,460,1,57
76,0,B,461,1,57
77,0,R,462,0,57
77,0,R,463,0,57
77,0,G,464,0,58
77,0,G,465,0,58
77,0,B,466,1,58
77,0,B,467,0,58
78,0,R,468,0,58
78,0,R,469,0,58
78,0,G,470,0,58
78,0,G,471,0,58
78,0,B,472,0,59
78,0,B,473,0,59
79,0,R,474,1,59
79,0,R,475,0,59
79,0,G,476,0,59
79,0,G,477,0,59
79,0,B,478,1,59
79,0,B,479,0,59
80,0,R,480,0,60
80,0,R,481,1,60
80,0,G,482,1,60
80,0,G,483,0,60
80,0,B,484,0,60
80,0,B,485,1,60
81,0,R,486,1,60
81,0,R,487,0,60
81,0,G,488,0,61
81,0,G,489,1,61
81,0,B,490,1,61
81,0,B,491,0,61
82,0,R,492,1,61
82,0,R,493,0,61
82,0,G,494,0,61
82,0,G,495,1,61
82,0,B,496,0,62
82,0,B,497,1,62
83,0,R,498,1,62
83,0,R,499,0,62
83,0,G,500,1,62
83,0,G,501,1,62
83,0,B,502,0,62
83,0,B,503,0,62
84,0,R,504,0,63
84,0,R,505,1,63
84,0,G,506,1,63
84,0,G,507,0,63
84,0,B,508,0,63
84,0,B,509,1,63
85,0,R,510,0,63
85,0,R,511,1,63
85,0,G,512,0,64
85,0,G,513,1,64
85,0,B,514,1,64
85,0,B,515,0,64
86,0,R,516,1,64
86,0,R,517,1,64
86,0,G,518,1,64
86,0,G,519,0,64
86,0,B,520,0,65
86,0,B,521,1,65
87,0,R,522,1,65
87,0,R,523,0,65
87,0,G,524,0,65
87,0,G,525,0,65
87,0,B,526,0,65
87,0,B,527,1,65
88,0,R,528,0,66
88,0,R,529,1,66
88,0,G,530,1,66
88,0,G,531,0,66
88,0,B,532,1,66
88,0,B,533,1,66
89,0,R,534,0,66
89,0,R,535,1,66
89,0,G,536,0,67
89,0,G,537,1,67
89,0,B,538,1,67
89,0,B,539,0,67
90,0,R,540,0,67
90,0,R,541,1,67
90,0,G,542,0,67
90,0,G,543,1,67
90,0,B,544,0,68
90,0,B,545,0,68
91,0,R,546,1,68
91,0,R,547,0,68
91,0,G,548,0,68
91,0,G,549,0,68
91,0,B,550,1,68
91,0,B,551,0,68
92,0,R,552,0,69
92,0,R,553,0,69
92,0,G,554,1,69
92,0,G,555,1,69
92,0,B,556,1,69
92,0,B,557,0,69
93,0,R,558,1,69
